,city,lat,lon,max_temp,humidity,cloudiness,wind speed,country,date
211,Lebu,-37.62,-73.65,46.81,90,33,4.5,CL,1593692834
212,Zonianá,35.3,24.83,97.0,40,0,7.0,GR,1593692969
213,Liverpool,53.41,-2.98,63.0,82,40,12.75,GB,1593692682
214,Hithadhoo,-0.6,73.08,84.65,65,0,3.96,MV,1593692970
215,Grindavik,63.84,-22.43,59.0,54,20,3.36,IS,1593692494
216,Belmonte,-15.86,-38.88,77.0,73,22,4.7,BR,1593692971
217,Kysyl-Syr,63.9,122.76,71.85,43,33,7.87,RU,1593692972
218,Grand Gaube,-20.01,57.66,72.0,71,9,8.99,MU,1593692972
219,Preobrazheniye,42.9,133.91,56.77,89,73,0.27,RU,1593692973
220,Grão Mogol,-16.56,-42.89,72.75,58,86,1.61,BR,1593692973
221,Verkhoyansk,67.54,133.38,61.48,64,97,11.97,RU,1593692974
222,Dimona,31.07,35.03,94.78,15,0,11.5,IL,1593692974
223,Movila Banului,44.98,26.68,89.6,33,40,11.41,RO,1593692975
224,Yiyang,28.59,112.33,76.84,96,100,3.76,CN,1593692975
225,Dongying,37.46,118.49,82.02,46,90,13.04,CN,1593692976
226,Port Hawkesbury,45.62,-61.35,69.8,88,1,2.24,CA,1593692516
227,Khovd,48.01,91.64,74.21,27,97,4.14,MN,1593692978
228,Peniche,39.36,-9.38,75.99,53,19,18.01,PT,1593692978
229,Koubia,11.58,-11.9,79.84,74,100,3.38,GN,1593692979
230,Norman Wells,65.28,-126.83,48.2,100,90,17.22,CA,1593692980
231,Christchurch,-43.53,172.63,37.99,93,13,9.17,NZ,1593692980
232,Souillac,-20.52,57.52,73.4,69,75,16.11,MU,1593692981
233,Ponta do Sol,32.67,-17.1,73.0,66,4,1.41,PT,1593692518
234,Deputatsky,69.3,139.9,53.11,53,35,16.71,RU,1593692982
235,Chake Chake,-5.25,39.77,79.39,68,100,16.46,TZ,1593692982
236,Puerto del Rosario,28.5,-13.86,77.0,73,20,21.92,ES,1593692983
237,Bandarbeyla,9.49,50.81,92.59,38,20,30.11,SO,1593692984
238,Lillesand,58.25,8.38,62.6,42,0,12.75,NO,1593692984
239,Srednekolymsk,67.45,153.68,42.15,81,100,14.09,RU,1593692985
240,Avera,33.19,-82.53,75.2,90,40,3.36,US,1593692985
241,Tilichiki,60.47,166.1,43.23,89,6,8.05,RU,1593692986
242,Necochea,-38.55,-58.74,43.0,98,98,1.01,AR,1593692986
243,Portree,57.41,-6.19,55.0,71,86,10.0,GB,1593692987
244,Tres Arroyos,-38.37,-60.28,38.64,94,16,7.14,AR,1593692987
245,Tautira,-17.73,-149.15,77.0,73,75,2.24,PF,1593692988
246,Rundu,-17.93,19.77,53.6,13,0,6.93,NA,1593692988
247,Rio Grande,-32.03,-52.1,45.0,81,40,5.82,BR,1593692792
248,San Martín,-33.08,-68.47,35.6,80,28,3.36,AR,1593692989
249,Saint Anthony,45.02,-93.22,77.0,88,1,3.67,US,1593692990
250,Baruun-Urt,46.68,113.28,64.35,76,96,11.39,MN,1593692991
251,Fairbanks,64.84,-147.72,45.0,93,1,1.66,US,1593692832
252,Kieta,-6.22,155.63,79.09,77,35,4.74,PG,1593692460
253,Jalu,29.03,21.55,99.18,13,0,13.18,LY,1593692993
254,Port Lincoln,-34.73,135.87,53.26,76,12,11.68,AU,1593692994
255,Road Town,18.42,-64.62,86.0,79,20,8.05,VG,1593692994
256,Port Hardy,50.7,-127.42,50.25,87,57,6.04,CA,1593692463
257,Richards Bay,-28.78,32.04,77.27,35,0,4.09,ZA,1593692995
258,Malakal,9.53,31.66,81.52,69,87,8.43,SS,1593692483
259,Albox,37.39,-2.15,91.0,10,0,5.99,ES,1593692997
260,Ják,47.14,16.58,84.0,52,67,4.0,HU,1593692997
261,Tandaltī,13.02,31.87,96.91,33,86,16.08,SD,1593692998
262,Te Anau,-45.42,167.72,37.33,84,45,1.34,NZ,1593692998
263,Fairview,40.81,-74.0,77.0,78,1,3.36,US,1593692999
264,Port Elizabeth,-33.92,25.57,66.2,68,4,14.99,ZA,1593692853
265,Simbahan,6.3,120.58,82.83,73,33,5.61,PH,1593693000
266,Mahébourg,-20.41,57.7,73.4,69,75,16.11,MU,1593693001
267,Carutapera,-1.2,-46.02,81.68,86,58,5.35,BR,1593693003
268,Nome,64.5,-165.41,51.8,87,90,18.34,US,1593693007
269,North Bend,43.41,-124.22,50.0,93,75,4.7,US,1593692721
270,Abalak,58.13,68.59,66.47,70,100,5.93,RU,1593693014
271,Vardø,70.37,31.11,50.0,76,75,11.41,NO,1593693015
272,Labuhan,-6.88,112.21,79.5,79,42,6.6,ID,1593693016
273,Cap Malheureux,-19.98,57.61,72.0,71,6,8.99,MU,1593693017
274,Santiago,-33.46,-70.65,50.0,71,100,1.54,CL,1593692967
275,Puerto Colombia,10.99,-74.95,78.8,94,40,6.06,CO,1593693018
276,Iwakuni,34.15,132.18,75.2,69,75,1.74,JP,1593692725
277,Upernavik,72.79,-56.15,37.9,81,97,11.01,GL,1593692485
278,Westport,41.14,-73.36,73.0,78,1,7.61,US,1593692905
279,Makkah al Mukarramah,21.43,39.83,107.73,8,0,17.16,SA,1593692932
280,Kalengwa,-13.47,25.0,78.66,23,0,6.89,ZM,1593693021
281,Ibrā’,22.69,58.53,95.49,38,29,16.93,OM,1593693022
282,Caraballeda,10.61,-66.85,73.0,77,17,7.31,VE,1593693023
